nome,bruto,processado
acid-splash,"
Acid Splash







Source: Player's Handbook
Conjuration cantrip
Casting Time: 1 action
Range: 60 feet
Components: V, S
Duration: Instantaneous
You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.
At Higher Levels. This spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
Spell Lists. Artificer, Sorcerer, Wizard












","['acid', 'splash', 'source', 'players', 'handbook', 'conjuration', 'cantrip', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'v', 'duration', 'instantaneous', 'hurl', 'bubble', 'acid', 'choose', 'one', 'creature', 'see', 'within', 'range', 'choose', 'two', 'creatures', 'see', 'within', 'range', 'within', '5', 'feet', 'target', 'must', 'succeed', 'dexterity', 'saving', 'throw', 'take', '1d6', 'acid', 'damage', 'higher', 'levels', 'spell’s', 'damage', 'increases', '1d6', 'reach', '5th', 'level', '2d6', '11th', 'level', '3d6', '17th', 'level', '4d6', 'spell', 'lists', 'artificer', 'sorcerer', 'wizard']"
blade-ward,"
Blade Ward







Source: Player's Handbook
Abjuration cantrip
Casting Time: 1 action
Range: Self
Components: V, S
Duration: 1 round
You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.
Spell Lists. Bard, Sorcerer, Warlock, Wizard












","['blade', 'ward', 'source', 'players', 'handbook', 'abjuration', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'self', 'components', 'v', 'duration', '1', 'round', 'extend', 'hand', 'trace', 'sigil', 'warding', 'air', 'end', 'next', 'turn', 'resistance', 'bludgeoning', 'piercing', 'slashing', 'damage', 'dealt', 'weapon', 'attacks', 'spell', 'lists', 'bard', 'sorcerer', 'warlock', 'wizard']"
booming-blade,"
Booming Blade







Source: Tasha's Cauldron of Everything
Evocation cantrip
Casting Time: 1 action
Range: Self (5-foot radius)
Components: S, M (a melee weapon worth at least 1 sp)
Duration: 1 round
You brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack’s normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends.
At Higher Levels. At 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).
Spell Lists. Artificer, Sorcerer (Optional), Warlock (Optional), Wizard (Optional)












","['booming', 'blade', 'source', 'tashas', 'cauldron', 'everything', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'self', '5foot', 'radius', 'components', 'melee', 'weapon', 'worth', 'least', '1', 'sp', 'duration', '1', 'round', 'brandish', 'weapon', 'used', 'spell’s', 'casting', 'make', 'melee', 'attack', 'one', 'creature', 'within', '5', 'feet', 'hit', 'target', 'suffers', 'weapon', 'attack’s', 'normal', 'effects', 'becomes', 'sheathed', 'booming', 'energy', 'start', 'next', 'turn', 'target', 'willingly', 'moves', '5', 'feet', 'target', 'takes', '1d8', 'thunder', 'damage', 'spell', 'ends', 'higher', 'levels', '5th', 'level', 'melee', 'attack', 'deals', 'extra', '1d8', 'thunder', 'damage', 'target', 'hit', 'damage', 'target', 'takes', 'moving', 'increases', '2d8', 'damage', 'rolls', 'increase', '1d8', '11th', 'level', '2d8', '3d8', '17th', 'level', '3d8', '4d8', 'spell', 'lists', 'artificer', 'sorcerer', 'optional', 'warlock', 'optional', 'wizard', 'optional']"
chill-touch,"
Chill Touch







Source: Player's Handbook
Necromancy cantrip
Casting Time: 1 action
Range: 120 feet
Components: V, S
Duration: 1 round
You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can’t regain hit points until the start of your next turn. Until then, the hand clings to the target. If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.
At Higher Levels. This spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
Spell Lists. Sorcerer, Warlock, Wizard












","['chill', 'touch', 'source', 'players', 'handbook', 'necromancy', 'cantrip', 'casting', 'time', '1', 'action', 'range', '120', 'feet', 'components', 'v', 'duration', '1', 'round', 'create', 'ghostly', 'skeletal', 'hand', 'space', 'creature', 'within', 'range', 'make', 'ranged', 'spell', 'attack', 'creature', 'assail', 'chill', 'grave', 'hit', 'target', 'takes', '1d8', 'necrotic', 'damage', 'can’t', 'regain', 'hit', 'points', 'start', 'next', 'turn', 'hand', 'clings', 'target', 'hit', 'undead', 'target', 'also', 'disadvantage', 'attack', 'rolls', 'end', 'next', 'turn', 'higher', 'levels', 'spell’s', 'damage', 'increases', '1d8', 'reach', '5th', 'level', '2d8', '11th', 'level', '3d8', '17th', 'level', '4d8', 'spell', 'lists', 'sorcerer', 'warlock', 'wizard']"
control-flames,"
Control Flames







Source: Xanathar's Guide to Everything
Transmutation cantrip
Casting Time: 1 action
Range: 60 feet
Components: S
Duration: Instantaneous or 1 hour
You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways:

You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location.


You instantaneously extinguish the flames within the cube.


You double or halve the area of bright light and dim light cast by the flame, change its color, or both. The change lasts for 1 hour.


You cause simple shapes—such as the vague form of a creature, an inanimate object, or a location—to appear within the flames and animate as you like. The shapes last for 1 hour.

If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.
Spell Lists. Druid, Sorcerer, Wizard












","['control', 'flames', 'source', 'xanathars', 'guide', 'everything', 'transmutation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'duration', 'instantaneous', '1', 'hour', 'choose', 'nonmagical', 'flame', 'see', 'within', 'range', 'fits', 'within', '5foot', 'cube', 'affect', 'one', 'following', 'ways', 'instantaneously', 'expand', 'flame', '5', 'feet', 'one', 'direction', 'provided', 'wood', 'fuel', 'present', 'new', 'location', 'instantaneously', 'extinguish', 'flames', 'within', 'cube', 'double', 'halve', 'area', 'bright', 'light', 'dim', 'light', 'cast', 'flame', 'change', 'color', 'change', 'lasts', '1', 'hour', 'cause', 'simple', 'shapes—such', 'vague', 'form', 'creature', 'inanimate', 'object', 'location—to', 'appear', 'within', 'flames', 'animate', 'like', 'shapes', 'last', '1', 'hour', 'cast', 'spell', 'multiple', 'times', 'three', 'noninstantaneous', 'effects', 'active', 'time', 'dismiss', 'effect', 'action', 'spell', 'lists', 'druid', 'sorcerer', 'wizard']"
create-bonfire,"
Create Bonfire







Source: Xanathar's Guide to Everything
Conjuration cantrip
Casting Time: 1 action
Range: 60 feet
Components: V, S
Duration: Concentration, up to 1 minute
You create a bonfire on ground that you can see within range. Until the spell ends, the bonfire fills a 5-foot cube. Any creature in the bonfire’s space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there.
At Higher Levels. The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
Spell Lists. Artificer, Druid, Sorcerer, Warlock, Wizard












","['create', 'bonfire', 'source', 'xanathars', 'guide', 'everything', 'conjuration', 'cantrip', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'v', 'duration', 'concentration', '1', 'minute', 'create', 'bonfire', 'ground', 'see', 'within', 'range', 'spell', 'ends', 'bonfire', 'fills', '5foot', 'cube', 'creature', 'bonfire’s', 'space', 'cast', 'spell', 'must', 'succeed', 'dexterity', 'saving', 'throw', 'take', '1d8', 'fire', 'damage', 'creature', 'must', 'also', 'make', 'saving', 'throw', 'enters', 'bonfire’s', 'space', 'first', 'time', 'turn', 'ends', 'turn', 'higher', 'levels', 'spell’s', 'damage', 'increases', '1d8', 'reach', '5th', 'level', '2d8', '11th', 'level', '3d8', '17th', 'level', '4d8', 'spell', 'lists', 'artificer', 'druid', 'sorcerer', 'warlock', 'wizard']"
dancing-lights,"
Dancing Lights







Source: Player's Handbook
Evocation cantrip
Casting Time: 1 action
Range: 120 feet
Components: V, S, M (a bit of phosphorus or wychwood, or a glowworm)
Duration: Concentration, up to 1 minute
You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.
As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell’s range.
Spell Lists. Artificer, Bard, Sorcerer, Wizard












","['dancing', 'lights', 'source', 'players', 'handbook', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '120', 'feet', 'components', 'v', 'bit', 'phosphorus', 'wychwood', 'glowworm', 'duration', 'concentration', '1', 'minute', 'create', 'four', 'torchsized', 'lights', 'within', 'range', 'making', 'appear', 'torches', 'lanterns', 'glowing', 'orbs', 'hover', 'air', 'duration', 'also', 'combine', 'four', 'lights', 'one', 'glowing', 'vaguely', 'humanoid', 'form', 'medium', 'size', 'whichever', 'form', 'choose', 'light', 'sheds', 'dim', 'light', '10foot', 'radius', 'bonus', 'action', 'turn', 'move', 'lights', '60', 'feet', 'new', 'spot', 'within', 'range', 'light', 'must', 'within', '20', 'feet', 'another', 'light', 'created', 'spell', 'light', 'winks', 'exceeds', 'spell’s', 'range', 'spell', 'lists', 'artificer', 'bard', 'sorcerer', 'wizard']"
decompose,"
Decompose (HB)







Source: Critical Role (Twitter)
Necromancy cantrip
Casting Time: 1 action
Range: Touch
Components: V, S
Duration: 1 minute
You reach out and touch the corpse of a creature. Over the next minute, the corpse begins to rapidly decompose, sprouting fungus and moss as it begins to degrade into compost and mulch. An odd-colored flower or two may also spring from the corpse in this time. Applicable requirements for resurrection are unaffected by this decomposition.
Spell Lists. Cleric












","['decompose', 'hb', 'source', 'critical', 'role', 'twitter', 'necromancy', 'cantrip', 'casting', 'time', '1', 'action', 'range', 'touch', 'components', 'v', 'duration', '1', 'minute', 'reach', 'touch', 'corpse', 'creature', 'next', 'minute', 'corpse', 'begins', 'rapidly', 'decompose', 'sprouting', 'fungus', 'moss', 'begins', 'degrade', 'compost', 'mulch', 'oddcolored', 'flower', 'two', 'may', 'also', 'spring', 'corpse', 'time', 'applicable', 'requirements', 'resurrection', 'unaffected', 'decomposition', 'spell', 'lists', 'cleric']"
druidcraft,"
Druidcraft







Source: Player's Handbook
Transmutation cantrip
Casting Time: 1 action
Range: 30 feet
Components: V, S
Duration: Instantaneous
Whispering to the spirits of nature, you create one of the following effects within range:

You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round.


You instantly make a flower blossom, a seed pod open, or a leaf bud bloom.


You create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. The effect must fit in a 5-foot cube.


You instantly light or snuff out a candle, a torch, or a small campfire.

Spell Lists. Druid












","['druidcraft', 'source', 'players', 'handbook', 'transmutation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '30', 'feet', 'components', 'v', 'duration', 'instantaneous', 'whispering', 'spirits', 'nature', 'create', 'one', 'following', 'effects', 'within', 'range', 'create', 'tiny', 'harmless', 'sensory', 'effect', 'predicts', 'weather', 'location', 'next', '24', 'hours', 'effect', 'might', 'manifest', 'golden', 'orb', 'clear', 'skies', 'cloud', 'rain', 'falling', 'snowflakes', 'snow', 'effect', 'persists', '1', 'round', 'instantly', 'make', 'flower', 'blossom', 'seed', 'pod', 'open', 'leaf', 'bud', 'bloom', 'create', 'instantaneous', 'harmless', 'sensory', 'effect', 'falling', 'leaves', 'puff', 'wind', 'sound', 'small', 'animal', 'faint', 'odor', 'skunk', 'effect', 'must', 'fit', '5foot', 'cube', 'instantly', 'light', 'snuff', 'candle', 'torch', 'small', 'campfire', 'spell', 'lists', 'druid']"
eldritch-blast,"
Eldritch Blast







Source: Player's Handbook
Evocation cantrip
Casting Time: 1 action
Range: 120 feet
Components: V, S
Duration: Instantaneous
A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.
At Higher Levels. The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.
Spell Lists. Warlock












","['eldritch', 'blast', 'source', 'players', 'handbook', 'evocation', 'cantrip', 'casting', 'time', '1', 'action', 'range', '120', 'feet', 'components', 'v', 'duration', 'instantaneous', 'beam', 'crackling', 'energy', 'streaks', 'toward', 'creature', 'within', 'range', 'make', 'ranged', 'spell', 'attack', 'target', 'hit', 'target', 'takes', '1d10', 'force', 'damage', 'higher', 'levels', 'spell', 'creates', 'one', 'beam', 'reach', 'higher', 'levels', 'two', 'beams', '5th', 'level', 'three', 'beams', '11th', 'level', 'four', 'beams', '17th', 'level', 'direct', 'beams', 'target', 'different', 'ones', 'make', 'separate', 'attack', 'roll', 'beam', 'spell', 'lists', 'warlock']"
